,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
1848,V3Ru,7.857833738329233,0.0,6.77837565,-0.2805034200000005,0.0046901,53.65368498297045,-9.410867825,V3Ru,mp-865382
1849,V3Ni,6.8987549160690005,0.0,6.68305039,-0.157472083750001,0.00106075,101.82525412435717,-8.41419466125,V3Ni,mp-7226
1850,V3Fe,6.896938402309712,0.0,6.00351856,-0.17128369374999863,0.00105415,100.48048468632058,-9.10037508125,V3Fe,mp-1079399
1851,PtW,19.91145394563403,0.0,7.59110784,-0.04552718999999961,1e-06,31.60081162281504,-9.56004428,PtW,mp-1219711
1852,Re3Ni,18.346972080699892,0.0,7.68106134,-0.10952699999999993,0.0001031,111.7431991574312,-10.88787783875,Re3Ni,mp-862604
1853,Re3In,,,,,,,,,
1854,Re3Sn,17.28442005144722,0.0,9.18132608,0.5444457499999995,0.00221805,130.1443245618265,-9.78702338375,Re3Sn,mp-974426
1855,Tc3Ni,10.763601207665138,0.0,8.46745676,-0.10449586500000052,7.315e-05,108.8225321493536,-9.3199162475,Tc3Ni,mp-867357
1856,Tc3Mn,,,,,,,,,
1857,Tc3Zn,,,,,,,,,
1858,Tc3Hg,,,,,,,,,
1859,Tc3Al,9.18696124674635,0.0,8.73132222,-0.11251363500000089,0.00019595,116.03453420279612,-8.819372525,AlTc3,mp-1183188
1860,Tc3Tl,,,,,,,,,
1861,Tc3Pb,12.482288246954038,0.0,9.36316391,0.5984342849999997,0.77605125,133.35089908423012,-8.100178035,Tc3Pb,mp-1187592
1862,Os3Tl,,,,,,,,,
1863,Ru3Mn,11.152310561885574,0.0,7.70790547,0.0004785213362055174,0.0002911,106.65392019864316,-9.24573992875,MnRu3,mp-865045
1864,Ru3In,11.164201186805668,0.0,8.62408735,0.30957463999999923,1.1938636,124.35315582686616,-7.334138125,InRu3,mp-1095082
1865,Ru3Tl,,,,,,,,,
1866,Ru3Pb,,,,,,,,,
1867,Fe3Ag,8.49413897649243,0.0,4.5613245,0.34147874416666646,7.7682589,53.83921477294899,-6.7186263,Fe3Ag,mp-1184230
1868,Rh3Zn,11.030016892521903,0.0,5.75014464,-0.18880615124999878,0.0037261,56.32357725421539,-6.0075534725,ZnRh3,mp-971779
